31, 208.462
20, 228.071
39, 286.369
26, 75.875
37, 389.848
29, 137.18
47, 299.605
24, 166.939
28, 156.862
failed, 1200
failed, 1200
1310, 79.996
1657, 107.972
17, 94.849
failed, 1200
failed, 1200
1525, 198.898
